OBJECTID,ID_NOM,ID_TAXON,ID_ARBRE,CLASSE,NOM_LATIN,NOM_COM_GE,NOM_COMMUN,NOM_COM_RE,DIAM_1M,DIAM_COURO,HAUTEUR_TO,REMARQUABL,CHAMPION,INT_PHENO,STATUT,ADR_URL,COMMUNE,NO_POSTAL,CIRCONFERENCE,DATE_OBSERVATION,E,N
83280,13998,37435,130966,Conifères,Sequoiadendron,Séquoia,Séquoia,"Séquoia, Séquoia géant pleureur",,,,,0,,Historique,https://www.patrimoine-vert-geneve.ch/arbres/arbres-isoles-genevois/sequoiadendron/sequoia-geant,Genève-Petit-Saconnex,1202,,19760606.0,2498866.29,1119095.69
88153,13998,37435,125921,Conifères,Sequoiadendron,Séquoia,Séquoia,"Séquoia, Séquoia géant pleureur",,,,,0,,Historique,https://www.patrimoine-vert-geneve.ch/arbres/arbres-isoles-genevois/sequoiadendron/sequoia-geant,Veyrier,1234,,19760606.0,2499818.75,1114336.37
87797,13998,37435,123222,Conifères,Sequoiadendron,Séquoia,Séquoia,"Séquoia, Séquoia géant pleureur",,,,,0,,Historique,https://www.patrimoine-vert-geneve.ch/arbres/arbres-isoles-genevois/sequoiadendron/sequoia-geant,Grand-Saconnex,1218,,19760606.0,2498198.95,1120023.55
86593,13998,37435,135958,Conifères,Sequoiadendron,Séquoia,Séquoia,"Séquoia, Séquoia géant pleureur",,,,,0,,Historique,https://www.patrimoine-vert-geneve.ch/arbres/arbres-isoles-genevois/sequoiadendron/sequoia-geant,Genève-Plainpalais,1206,,19760606.0,2500613.79,1116419.54
87036,13998,37435,134994,Conifères,Sequoiadendron,Séquoia,Séquoia,"Séquoia, Séquoia géant pleureur",,,,,0,,Historique,https://www.patrimoine-vert-geneve.ch/arbres/arbres-isoles-genevois/sequoiadendron/sequoia-geant,Lancy,1212,,19760606.0,2497572.52,1115075.1
87607,13998,37435,129427,Conifères,Sequoiadendron,Séquoia,Séquoia,"Séquoia, Séquoia géant pleureur",,,,,0,,Historique,https://www.patrimoine-vert-geneve.ch/arbres/arbres-isoles-genevois/sequoiadendron/sequoia-geant,Chêne-Bougeries,1224,,19760606.0,2503875.14,1117298.26
92172,13998,37435,143198,Conifères,Sequoiadendron,Séquoia,Séquoia,"Séquoia, Séquoia géant pleureur",,,,,0,,Historique,https://www.patrimoine-vert-geneve.ch/arbres/arbres-isoles-genevois/sequoiadendron/sequoia-geant,Satigny,1214,,19760606.0,2493592.18,1118214.79
92755,13998,37435,159728,Conifères,Sequoiadendron,Séquoia,Séquoia,"Séquoia, Séquoia géant pleureur",,,,,0,,Historique,https://www.patrimoine-vert-geneve.ch/arbres/arbres-isoles-genevois/sequoiadendron/sequoia-geant,Chêne-Bougeries,1231,,19760606.0,2502964.36,1115978.72
90654,13998,37435,115007,Conifères,Sequoiadendron,Séquoia,Séquoia,"Séquoia, Séquoia géant pleureur",,,,,0,,Historique,https://www.patrimoine-vert-geneve.ch/arbres/arbres-isoles-genevois/sequoiadendron/sequoia-geant,Veyrier,1234,,19760606.0,2499845.52,1114012.46
91155,13998,37435,134568,Conifères,Sequoiadendron,Séquoia,Séquoia,"Séquoia, Séquoia géant pleureur",,,,,0,,Historique,https://www.patrimoine-vert-geneve.ch/arbres/arbres-isoles-genevois/sequoiadendron/sequoia-geant,Lancy,1213,,19760606.0,2498254.73,1116776.69
